lon,lat,E,N,chainage1,chainage2,deltaE,deltaN,heading1,heading_medfilt,heading_movmean,piecenum,rad_heading_movmean,rad_delta_heading
113.07236,37.97126,-9762.92,17154.71,84.56,20046.87,-14.55,0.83,273.2688,273.2688,273.311,33,4.77017697,-0.01460736
113.07219,37.97127,-9777.47,17155.54,84.57,20061.44,-14.53,0.63,272.5003,272.5003,272.4741,34,4.75556961,-0.01471941
113.07203,37.97128,-9792,17156.17,84.59,20075.99,-14.51,0.42,271.6394,271.6394,271.6307,34,4.7408502,-0.01435158
113.07186,37.97128,-9806.51,17156.59,84.6,20090.51,-14.49,0.2,270.7838,270.7838,270.8084,34,4.72649862,-0.01430806
113.0717,37.97129,-9821,17156.78,84.62,20105,-14.46,-0.01,269.9612,269.9612,269.9886,34,4.71219056,-0.01413839
113.07153,37.97129,-9835.46,17156.77,84.63,20119.45,-14.42,-0.21,269.1574,269.1574,269.1786,34,4.69805217,-0.01413676
113.07137,37.97129,-9849.88,17156.56,84.65,20133.87,-14.33,-0.4,268.4013,268.4013,268.3686,34,4.68391541,-0.01406403
113.0712,37.97129,-9864.2,17156.16,84.66,20148.21,-14.26,-0.6,267.589,267.589,267.5628,35,4.66985138,-0.01397174
113.07104,37.97129,-9878.46,17155.56,84.68,20162.48,-14.16,-0.81,266.734,266.734,266.7623,35,4.65587964,-0.01429772
113.07088,37.97128,-9892.62,17154.75,84.69,20176.66,-14.04,-1,265.9322,265.9322,265.9431,35,4.64158192,-0.01431214
113.07072,37.97128,-9906.66,17153.76,84.71,20190.74,-13.9,-1.18,265.1548,265.1548,265.123,35,4.62726978,-0.01419372
113.07056,37.97127,-9920.57,17152.58,84.72,20204.69,-13.79,-1.37,264.3053,264.3053,264.3098,35,4.61307606,-0.0141233
113.07041,37.97126,-9934.35,17151.2,84.74,20218.54,-13.64,-1.56,263.4889,263.4889,263.5006,35,4.59895276,-0.01432775
113.07025,37.97125,-9947.99,17149.65,84.75,20232.27,-13.49,-1.74,262.6678,262.6678,262.6797,35,4.58462501,-0.01369183
113.0701,37.97124,-9961.48,17147.91,84.77,20245.87,-13.37,-1.91,261.8862,261.8862,261.8952,36,4.57093318,-0.01325776
113.06994,37.97122,-9974.85,17146,84.78,20259.38,-13.22,-2.08,261.0502,261.0502,261.1356,36,4.55767542,-0.01238156
113.06979,37.97121,-9988.07,17143.92,84.8,20272.76,-13.06,-2.21,260.3829,260.3829,260.4262,36,4.54529386,-0.01212445
113.06964,37.97119,-10001.12,17141.71,84.81,20286,-12.89,-2.34,259.6908,259.6908,259.7315,36,4.53316941,-0.01206916
113.0695,37.97117,-10014.01,17139.37,84.83,20299.09,-12.75,-2.45,259.1207,259.1207,259.04,36,4.52110025,-0.01224445
113.06935,37.97115,-10026.76,17136.92,84.84,20312.08,-12.59,-2.58,258.4128,258.4128,258.3384,36,4.5088558,-0.0125542
113.06921,37.97113,-10039.35,17134.34,84.86,20324.93,-12.45,-2.74,257.5926,257.5926,257.6191,36,4.4963016,-0.01288448
113.06906,37.97111,-10051.79,17131.6,84.87,20337.67,-12.31,-2.87,256.8751,256.8751,256.8809,36,4.48341712,-0.01244557
113.06892,37.97108,-10064.1,17128.73,84.89,20350.31,-12.19,-3.02,256.0943,256.0943,256.1678,36,4.47097155,-0.01103047
113.06878,37.97106,-10076.3,17125.71,84.9,20362.88,-12.05,-3.13,255.4296,255.4296,255.5358,36,4.45994108,-0.0102911
113.06865,37.97103,-10088.35,17122.58,84.92,20375.33,-11.93,-3.23,254.8474,254.8474,254.9462,36,4.44964998,-0.00848856
113.06851,37.97101,-10100.28,17119.34,84.93,20387.69,-11.82,-3.29,254.4326,254.4326,254.4598,36,4.44116142,-0.0062197
113.06837,37.97098,-10112.1,17116.05,84.95,20399.96,-11.73,-3.38,253.9269,253.9269,254.1034,36,4.43494172,-0.00491988
